127.0.0.1 - - [19/May/2017:19:07:30 -0300] "GET / HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:00 -0300] "GET /Livraria/faces/pages/Venda.xhtml HTTP/1.1" 200 14957
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:00 -0300] "GET /Livraria/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 200 24392
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:00 -0300] "GET /Livraria/faces/javax.faces.resource/components.css;jsessionid=9D7697FCB3AEA7CD6F12EC16C18D676B?ln=primefaces&v=6.0 HTTP/1.1" 200 75425
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:00 -0300] "GET /Livraria/faces/javax.faces.resource/jquery/jquery.js;jsessionid=9D7697FCB3AEA7CD6F12EC16C18D676B?ln=primefaces&v=6.0 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:00 -0300] "GET /Livraria/faces/javax.faces.resource/core.js;jsessionid=9D7697FCB3AEA7CD6F12EC16C18D676B?ln=primefaces&v=6.0 HTTP/1.1" 200 30554
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:00 -0300] "GET /Livraria/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=9D7697FCB3AEA7CD6F12EC16C18D676B?ln=primefaces&v=6.0 HTTP/1.1" 200 245797
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:00 -0300] "GET /Livraria/faces/javax.faces.resource/components.js;jsessionid=9D7697FCB3AEA7CD6F12EC16C18D676B?ln=primefaces&v=6.0 HTTP/1.1" 200 357791
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:00 -0300] "GET /Livraria/faces/javax.faces.resource/images/ui-bg_highlight-soft_100_c4c4c4_1x100.png?ln=primefaces-aristo HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:00 -0300] "GET /Livraria/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png?ln=primefaces-aristo HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:00 -0300] "GET /Livraria/faces/javax.faces.resource/images/ui-icons_38667f_256x240.png?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:01 -0300] "GET /Livraria/faces/javax.faces.resource/images/ui-icons_616161_256x240.png?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:31 -0300] "GET /Livraria/faces/pages/Venda.xhtml HTTP/1.1" 200 14957
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:32 -0300] "GET /Livraria/faces/javax.faces.resource/core.js;jsessionid=8D50DB4D70780208AFD628237E4F9D5C?ln=primefaces&v=6.0 HTTP/1.1" 200 30554
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:33 -0300] "GET /Livraria/faces/javax.faces.resource/jquery/jquery.js;jsessionid=8D50DB4D70780208AFD628237E4F9D5C?ln=primefaces&v=6.0 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:33 -0300] "GET /Livraria/faces/javax.faces.resource/components.js;jsessionid=8D50DB4D70780208AFD628237E4F9D5C?ln=primefaces&v=6.0 HTTP/1.1" 200 357791
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:33 -0300] "GET /Livraria/faces/javax.faces.resource/components.css;jsessionid=8D50DB4D70780208AFD628237E4F9D5C?ln=primefaces&v=6.0 HTTP/1.1" 200 75425
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:33 -0300] "GET /Livraria/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=8D50DB4D70780208AFD628237E4F9D5C?ln=primefaces&v=6.0 HTTP/1.1" 200 245797
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:33 -0300] "GET /Livraria/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 200 24392
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:33 -0300] "GET /Livraria/faces/javax.faces.resource/images/ui-icons_38667f_256x240.png?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:34 -0300] "GET /favicon.ico HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:43 -0300] "POST /Livraria/faces/pages/Venda.xhtml;jsessionid=8D50DB4D70780208AFD628237E4F9D5C HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:45 -0300] "POST /Livraria/faces/pages/Venda.xhtml;jsessionid=8D50DB4D70780208AFD628237E4F9D5C HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:45 -0300] "GET /Livraria/faces/javax.faces.resource/images/ui-bg_flat_0_2d5972_40x100.png?ln=primefaces-aristo HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [19/May/2017:19:08:45 -0300] "POST /Livraria/faces/pages/Venda.xhtml;jsessionid=8D50DB4D70780208AFD628237E4F9D5C HTTP/1.1" 200 210
